methods,path,module,endpoint,tags,auth_type,minimum_role,required_features_strict,required_features_dependency,feature_refs_conditional_or_internal,eligible_tiers_for_strict_features,helper_gate_signals,pricing_tier_refs_in_handler,user_role_refs_in_handler,turnstile_surfaces,dependency_calls,source_location
GET,/,app.shared.core.app_routes,root,Lifecycle,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/shared/core/app_routes.py:24-27
GET,/.well-known/jwks.json,app.modules.governance.api.oidc,oidc_jwks,oidc,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/oidc.py:25-29
GET,/.well-known/openid-configuration,app.modules.governance.api.oidc,oidc_discovery,oidc,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/oidc.py:18-22
GET,/api/v1/admin/health-dashboard,app.modules.governance.api.v1.health_dashboard,get_investor_health_dashboard,Investor Health,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/health_dashboard.py:172-237
GET,/api/v1/admin/health-dashboard/fair-use,app.modules.governance.api.v1.health_dashboard,get_llm_fair_use_runtime,Investor Health,jwt_db,admin,,,,free|starter|growth|pro|enterprise,,enterprise|free|pro,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/health_dashboard.py:258-329
GET,/api/v1/admin/reconcile/{tenant_id},app.modules.governance.api.v1.admin,reconcile_tenant_costs,Admin Utilities,admin_api_key,n/a,,,,free|starter|growth|pro|enterprise,,,,,app.modules.governance.api.v1.admin::validate_admin_key|app.shared.db.session::get_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/admin.py:74-103
POST,/api/v1/admin/trigger-analysis,app.modules.governance.api.v1.admin,trigger_analysis,Admin Utilities,admin_api_key,n/a,,,,free|starter|growth|pro|enterprise,,,,,app.modules.governance.api.v1.admin::validate_admin_key,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/admin.py:61-71
POST,/api/v1/attribution/apply,app.modules.reporting.api.v1.attribution,apply_rules,Attribution,jwt_db,admin,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:247-282
GET,/api/v1/attribution/coverage,app.modules.reporting.api.v1.attribution,get_coverage_kpis,Attribution,jwt_db,member,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:285-307
GET,/api/v1/attribution/rules,app.modules.reporting.api.v1.attribution,list_rules,Attribution,jwt_db,member,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:73-82
POST,/api/v1/attribution/rules,app.modules.reporting.api.v1.attribution,create_rule,Attribution,jwt_db,admin,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:85-126
DELETE,/api/v1/attribution/rules/{rule_id},app.modules.reporting.api.v1.attribution,delete_rule,Attribution,jwt_db,admin,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:171-197
PATCH,/api/v1/attribution/rules/{rule_id},app.modules.reporting.api.v1.attribution,update_rule,Attribution,jwt_db,admin,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:129-168
POST,/api/v1/attribution/simulate,app.modules.reporting.api.v1.attribution,simulate_rule,Attribution,jwt_db,member,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:200-244
GET,/api/v1/attribution/unallocated-analysis,app.modules.reporting.api.v1.attribution,get_unallocated_analysis,Attribution,jwt_db,member,chargeback,chargeback,,growth|pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/reporting/api/v1/attribution.py:310-330
GET,/api/v1/audit/carbon/assurance/evidence,app.modules.governance.api.v1.audit_evidence,list_carbon_assurance_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:1022-1085
POST,/api/v1/audit/carbon/assurance/evidence,app.modules.governance.api.v1.audit_evidence,capture_carbon_assurance_evidence,"Audit,Audit",jwt_db,admin,compliance_exports,compliance_exports,,pro|enterprise,,,,,app.shared.core.auth::get_current_user|app.shared.core.auth::requires_role.<locals>.role_checker|app.shared.core.dependencies::requires_feature.<locals>.feature_checker|app.shared.db.session::get_db|fastapi.security.http::?,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/audit_evidence.py:939-1019
